year,state,month,number,date
1998,Acre,January,0,1/1/1998
1999,Acre,January,0,1/1/1999
2000,Acre,January,0,1/1/2000
2001,Acre,January,0,1/1/2001
2002,Acre,January,0,1/1/2002
2003,Acre,January,10,1/1/2003
2004,Acre,January,0,1/1/2004
2005,Acre,January,12,1/1/2005
2006,Acre,January,4,1/1/2006
2007,Acre,January,0,1/1/2007
2008,Acre,January,0,1/1/2008
2009,Acre,January,0,1/1/2009
2010,Acre,January,1,1/1/2010
2011,Acre,January,0,1/1/2011
2012,Acre,January,0,1/1/2012
2013,Acre,January,0,1/1/2013
2014,Acre,January,0,1/1/2014
2015,Acre,January,1,1/1/2015
2016,Acre,January,12,1/1/2016
2017,Acre,January,0,1/1/2017
1998,Acre,February,0,1/1/1998
1999,Acre,February,0,1/1/1999
2000,Acre,February,0,1/1/2000
2001,Acre,February,0,1/1/2001
2002,Acre,February,1,1/1/2002
2003,Acre,February,0,1/1/2003
2004,Acre,February,3,1/1/2004
2005,Acre,February,0,1/1/2005
2006,Acre,February,0,1/1/2006
2007,Acre,February,5,1/1/2007
2008,Acre,February,0,1/1/2008
2009,Acre,February,2,1/1/2009
2010,Acre,February,0,1/1/2010
2011,Acre,February,0,1/1/2011
2012,Acre,February,0,1/1/2012
2013,Acre,February,0,1/1/2013
2014,Acre,February,0,1/1/2014
2015,Acre,February,2,1/1/2015
2016,Acre,February,5,1/1/2016
2017,Acre,February,1,1/1/2017
1998,Acre,March,0,1/1/1998
1999,Acre,March,0,1/1/1999
2000,Acre,March,11,1/1/2000
2001,Acre,March,0,1/1/2001
2002,Acre,March,0,1/1/2002
2003,Acre,March,0,1/1/2003
2004,Acre,March,0,1/1/2004
2005,Acre,March,3,1/1/2005
2006,Acre,March,0,1/1/2006
2007,Acre,March,2,1/1/2007
2008,Acre,March,0,1/1/2008
2009,Acre,March,1,1/1/2009
2010,Acre,March,0,1/1/2010
2011,Acre,March,0,1/1/2011
2012,Acre,March,1,1/1/2012
2013,Acre,March,2,1/1/2013
2014,Acre,March,1,1/1/2014
2015,Acre,March,2,1/1/2015
2016,Acre,March,0,1/1/2016
2017,Acre,March,0,1/1/2017
1998,Acre,April,0,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,0,1/1/2001
2002,Acre,April,0,1/1/2002
2003,Acre,April,1,1/1/2003
2004,Acre,Abril,2,1/1/2004
2005,Acre,April,1,1/1/2005
2006,Acre,April,0,1/1/2006
2007,Acre,April,0,1/1/2007
2008,Acre,April,0,1/1/2008
2009,Acre,April,0,1/1/2009
2010,Acre,April,3,1/1/2010
2011,Acre,April,2,1/1/2011
2012,Acre,April,1,1/1/2012
2013,Acre,April,19,1/1/2013
2014,Acre,April,7,1/1/2014
2015,Acre,April,3,1/1/2015
2016,Acre,April,0,1/1/2016
2017,Acre,April,1,1/1/2017
1998,Acre,May,0,1/1/1998
1999,Acre,May,0,1/1/1999
2000,Acre,May,1,1/1/2000
2001,Acre,May,0,1/1/2001
2002,Acre,May,0,1/1/2002
2003,Acre,May,6,1/1/2003
2004,Acre,May,7,1/1/2004
2005,Acre,May,2,1/1/2005
2006,Acre,May,8,1/1/2006
2007,Acre,May,1,1/1/2007
2008,Acre,May,0,1/1/2008
2009,Acre,May,3,1/1/2009
2010,Acre,May,9,1/1/2010
2011,Acre,May,3,1/1/2011
2012,Acre,May,3,1/1/2012
2013,Acre,May,4,1/1/2013
2014,Acre,May,1,1/1/2014
2015,Acre,May,2,1/1/2015
2016,Acre,May,21,1/1/2016
2017,Acre,May,10,1/1/2017
1998,Acre,June,3,1/1/1998
1999,Acre,June,0,1/1/1999
2000,Acre,June,1,1/1/2000
2001,Acre,June,1,1/1/2001
2002,Acre,June,0,1/1/2002
2003,Acre,June,0,1/1/2003
2004,Acre,June,5,1/1/2004
2005,Acre,June,27,1/1/2005
2006,Acre,June,1,1/1/2006
2007,Acre,June,4,1/1/2007
2008,Acre,June,0,1/1/2008
2009,Acre,June,0,1/1/2009
2010,Acre,June,1,1/1/2010
2011,Acre,June,10,1/1/2011
2012,Acre,June,7,1/1/2012
2013,Acre,June,8,1/1/2013
2014,Acre,June,17,1/1/2014
2015,Acre,June,40,1/1/2015
2016,Acre,June,87,1/1/2016
2017,Acre,June,45,1/1/2017
1998,Acre,June,37,1/1/1998
1999,Acre,June,1,1/1/1999
2000,Acre,June,1,1/1/2000
2001,Acre,June,3,1/1/2001
2002,Acre,June,39,1/1/2002
2003,Acre,June,168,1/1/2003
2004,Acre,June,42,1/1/2004
2005,Acre,June,368,1/1/2005
2006,Acre,June,33,1/1/2006
2007,Acre,June,29,1/1/2007
2008,Acre,June,41,1/1/2008
2009,Acre,June,31,1/1/2009
2010,Acre,July,126,1/1/2010
2011,Acre,July,93,1/1/2011
2012,Acre,July,71,1/1/2012
2013,Acre,July,54,1/1/2013
2014,Acre,July,60,1/1/2014
2015,Acre,July,109,1/1/2015
2016,Acre,July,533,1/1/2016
2017,Acre,July,457,1/1/2017
1998,Acre,August,130,1/1/1998
1999,Acre,August,63,1/1/1999
2000,Acre,August,136,1/1/2000
2001,Acre,August,396,1/1/2001
2002,Acre,August,728,1/1/2002
2003,Acre,August,1.976,1/1/2003
2004,Acre,August,645,1/1/2004
2005,Acre,August,4.198,1/1/2005
2006,Acre,August,839,1/1/2006
2007,Acre,August,960,1/1/2007
2008,Acre,August,445,1/1/2008
2009,Acre,August,194,1/1/2009
2010,Acre,August,1.682,1/1/2010
2011,Acre,August,425,1/1/2011
2012,Acre,August,739,1/1/2012
2013,Acre,August,679,1/1/2013
2014,Acre,August,1.1,1/1/2014
2015,Acre,August,1.397,1/1/2015
2016,Acre,August,2.188,1/1/2016
2017,Acre,August,1.493,1/1/2017
1998,Acre,September,509,1/1/1998
1999,Acre,September,209,1/1/1999
2000,Acre,September,265,1/1/2000
2001,Acre,September,290,1/1/2001
2002,Acre,September,1.949,1/1/2002
2003,Acre,September,3.942,1/1/2003
2004,Acre,September,1.978,1/1/2004
2005,Acre,September,4.253,1/1/2005
2006,Acre,September,2.37,1/1/2006
2007,Acre,September,2.08,1/1/2007
2008,Acre,September,1.666,1/1/2008
2009,Acre,September,1.265,1/1/2009
2010,Acre,September,2.531,1/1/2010
2011,Acre,September,1.204,1/1/2011
2012,Acre,September,1.996,1/1/2012
2013,Acre,September,2.136,1/1/2013
2014,Acre,September,2.175,1/1/2014
2015,Acre,September,2.928,1/1/2015
2016,Acre,September,3.586,1/1/2016
2017,Acre,September,3.429,1/1/2017
1998,Acre,October,44,1/1/1998
1999,Acre,October,60,1/1/1999
2000,Acre,October,18,1/1/2000
2001,Acre,October,137,1/1/2001
2002,Acre,October,687,1/1/2002
2003,Acre,October,740,1/1/2003
2004,Acre,October,461,1/1/2004
2005,Acre,October,547,1/1/2005
2006,Acre,October,316,1/1/2006
2007,Acre,October,203,1/1/2007
2008,Acre,October,652,1/1/2008
2009,Acre,October,565,1/1/2009
2010,Acre,October,292,1/1/2010
2011,Acre,October,97,1/1/2011
2012,Acre,October,348,1/1/2012
2013,Acre,October,258,1/1/2013
2014,Acre,October,406,1/1/2014
2015,Acre,October,905,1/1/2015
2016,Acre,October,509,1/1/2016
2017,Acre,October,1.508,1/1/2017
1998,Acre,November,0,1/1/1998
1999,Acre,November,0,1/1/1999
2000,Acre,November,0,1/1/2000
2001,Acre,November,1,1/1/2001
2002,Acre,November,86,1/1/2002
2003,Acre,November,15,1/1/2003
2004,Acre,November,10,1/1/2004
2005,Acre,November,14,1/1/2005
2006,Acre,November,18,1/1/2006
2007,Acre,November,7,1/1/2007
2008,Acre,November,4,1/1/2008
2009,Acre,November,33,1/1/2009
2010,Acre,November,39,1/1/2010
2011,Acre,November,74,1/1/2011
2012,Acre,November,13,1/1/2012
2013,Acre,November,79,1/1/2013
2014,Acre,Novembro,56,1/1/2014
2015,Acre,November,115,1/1/2015
2016,Acre,November,46,1/1/2016
2017,Acre,November,98,1/1/2017
1998,Acre,December,7,1/1/1998
1999,Acre,December,0,1/1/1999
2000,Acre,December,0,1/1/2000
2001,Acre,December,0,1/1/2001
2002,Acre,December,1,1/1/2002
2003,Acre,December,1,1/1/2003
2004,Acre,December,7,1/1/2004
2005,Acre,December,2,1/1/2005
2006,Acre,December,0,1/1/2006
2007,Acre,December,0,1/1/2007
2008,Acre,December,0,1/1/2008
2009,Acre,December,1,1/1/2009
2010,Acre,December,0,1/1/2010
2011,Acre,December,4,1/1/2011
2012,Acre,December,1,1/1/2012
2013,Acre,December,3,1/1/2013
2014,Acre,December,6,1/1/2014
2015,Acre,December,8,1/1/2015
2016,Acre,December,6,1/1/2016
1998,Alagoas,January,0,1/1/1998
1999,Alagoas,January,58,1/1/1999
2000,Alagoas,January,11,1/1/2000
2001,Alagoas,January,5,1/1/2001
2002,Alagoas,January,12,1/1/2002
2003,Alagoas,January,150,1/1/2003
2004,Alagoas,January,9,1/1/2004
2005,Alagoas,January,83,1/1/2005
2006,Alagoas,January,29,1/1/2006
2007,Alagoas,January,33,1/1/2007
2008,Alagoas,January,55,1/1/2008
2009,Alagoas,January,104,1/1/2009
2010,Alagoas,January,23,1/1/2010
2011,Alagoas,January,41,1/1/2011
2012,Alagoas,January,36,1/1/2012
2013,Alagoas,January,49,1/1/2013
2014,Alagoas,January,54,1/1/2014
2015,Alagoas,January,81,1/1/2015
2016,Alagoas,January,24,1/1/2016
2017,Alagoas,January,38,1/1/2017
2017,Alagoas,January,38,1/1/2017
1998,Alagoas,February,0,1/1/1998
1999,Alagoas,February,20,1/1/1999
2000,Alagoas,February,16,1/1/2000
2001,Alagoas,February,4,1/1/2001
2002,Alagoas,February,15,1/1/2002
2003,Alagoas,February,33,1/1/2003
2004,Alagoas,February,7,1/1/2004
2005,Alagoas,February,31,1/1/2005
2006,Alagoas,February,14,1/1/2006
2007,Alagoas,February,28,1/1/2007
2008,Alagoas,February,74,1/1/2008
2009,Alagoas,February,32,1/1/2009
2010,Alagoas,February,26,1/1/2010
2011,Alagoas,February,33,1/1/2011
2012,Alagoas,February,41,1/1/2012
2013,Alagoas,February,19,1/1/2013
2014,Alagoas,February,29,1/1/2014
2015,Alagoas,February,46,1/1/2015
2016,Alagoas,February,14,1/1/2016
2017,Alagoas,February,21,1/1/2017
1998,Alagoas,February,0,1/1/1998
1999,Alagoas,February,52,1/1/1999
2000,Alagoas,February,32,1/1/2000
2001,Alagoas,March,0,1/1/2001
2002,Alagoas,March,27,1/1/2002
2003,Alagoas,March,15,1/1/2003
2004,Alagoas,March,16,1/1/2004
2005,Alagoas,March,35,1/1/2005
2006,Alagoas,March,37,1/1/2006
2007,Alagoas,March,7,1/1/2007
2008,Alagoas,March,31,1/1/2008
2009,Alagoas,March,31,1/1/2009
2010,Alagoas,March,70,1/1/2010
2011,Alagoas,March,34,1/1/2011
2012,Alagoas,March,44,1/1/2012
2013,Alagoas,March,31,1/1/2013
2014,Alagoas,March,28,1/1/2014
2015,Alagoas,March,32,1/1/2015
2016,Alagoas,March,9,1/1/2016
2017,Alagoas,April,23,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,4,1/1/1999
2000,Alagoas,April,20,1/1/2000
2001,Alagoas,April,0,1/1/2001
2002,Alagoas,April,6,1/1/2002
2003,Alagoas,April,20,1/1/2003
2004,Alagoas,April,6,1/1/2004
2005,Alagoas,April,1,1/1/2005
2006,Alagoas,April,2,1/1/2006
2007,Alagoas,April,1,1/1/2007
2008,Alagoas,April,18,1/1/2008
2009,Alagoas,April,5,1/1/2009
2010,Alagoas,April,3,1/1/2010
2011,Alagoas,April,17,1/1/2011
2012,Alagoas,April,18,1/1/2012
2013,Alagoas,April,25,1/1/2013
2014,Alagoas,April,16,1/1/2014
2015,Alagoas,April,63,1/1/2015
2016,Alagoas,April,13,1/1/2016
2017,Alagoas,April,7,1/1/2017
1998,Alagoas,May,0,1/1/1998
1999,Alagoas,May,1,1/1/1999
2000,Alagoas,May,1,1/1/2000
2001,Alagoas,May,2,1/1/2001
2002,Alagoas,May,1,1/1/2002
2003,Alagoas,May,1,1/1/2003
2004,Alagoas,May,3,1/1/2004
2005,Alagoas,May,0,1/1/2005
2006,Alagoas,May,0,1/1/2006
2007,Alagoas,May,0,1/1/2007
2008,Alagoas,May,0,1/1/2008
2009,Alagoas,May,0,1/1/2009
2010,Alagoas,May,0,1/1/2010
2011,Alagoas,May,0,1/1/2011
2012,Alagoas,May,21,1/1/2012
2013,Alagoas,May,2,1/1/2013
2014,Alagoas,May,1,1/1/2014
2015,Alagoas,May,18,1/1/2015
2016,Alagoas,May,4,1/1/2016
2017,Alagoas,May,1,1/1/2017
1998,Alagoas,June,0,1/1/1998
1999,Alagoas,June,0,1/1/1999
2000,Alagoas,June,0,1/1/2000
2001,Alagoas,June,2,1/1/2001
2002,Alagoas,June,0,1/1/2002
2003,Alagoas,June,0,1/1/2003
2004,Alagoas,June,0,1/1/2004
2005,Alagoas,June,0,1/1/2005
2006,Alagoas,June,0,1/1/2006
2007,Alagoas,June,0,1/1/2007
2008,Alagoas,June,0,1/1/2008
2009,Alagoas,June,0,1/1/2009
2010,Alagoas,June,0,1/1/2010
2011,Alagoas,June,2,1/1/2011
2012,Alagoas,June,4,1/1/2012
2013,Alagoas,June,1,1/1/2013
2014,Alagoas,June,2,1/1/2014
2015,Alagoas,June,2,1/1/2015
2016,Alagoas,June,5,1/1/2016
2017,Alagoas,June,2,1/1/2017
1998,Alagoas,July,0,1/1/1998
1999,Alagoas,July,0,1/1/1999
2000,Alagoas,July,0,1/1/2000
2001,Alagoas,July,0,1/1/2001
2002,Alagoas,July,5,1/1/2002
2003,Alagoas,July,0,1/1/2003
2004,Alagoas,July,0,1/1/2004
2005,Alagoas,July,0,1/1/2005
2006,Alagoas,July,0,1/1/2006
2007,Alagoas,July,0,1/1/2007
2008,Alagoas,July,0,1/1/2008
2009,Alagoas,July,0,1/1/2009
2010,Alagoas,July,2,1/1/2010
2011,Alagoas,July,0,1/1/2011
2012,Alagoas,July,0,1/1/2012
2013,Alagoas,July,0,1/1/2013
2014,Alagoas,July,1,1/1/2014
2015,Alagoas,July,0,1/1/2015
2016,Alagoas,July,3,1/1/2016
2017,Alagoas,July,0,1/1/2017
1998,Alagoas,August,1,1/1/1998
1999,Alagoas,August,3,1/1/1999
2000,Alagoas,August,4,1/1/2000
2001,Alagoas,August,1,1/1/2001
2002,Alagoas,August,3,1/1/2002
2003,Alagoas,August,2,1/1/2003
2004,Alagoas,August,2,1/1/2004
2005,Alagoas,August,2,1/1/2005
2006,Alagoas,August,1,1/1/2006
2007,Alagoas,August,3,1/1/2007
2008,Alagoas,August,1,1/1/2008
2009,Alagoas,August,0,1/1/2009
2010,Alagoas,August,1,1/1/2010
2011,Alagoas,August,4,1/1/2011
2012,Alagoas,August,0,1/1/2012
2013,Alagoas,August,0,1/1/2013
2014,Alagoas,August,3,1/1/2014
2015,Alagoas,August,3,1/1/2015
2016,Alagoas,August,5,1/1/2016
2017,Alagoas,August,1,1/1/2017
1998,Alagoas,September,14,1/1/1998
1999,Alagoas,September,3,1/1/1999
2000,Alagoas,September,22,1/1/2000
2001,Alagoas,September,5,1/1/2001
2002,Alagoas,September,14,1/1/2002
2003,Alagoas,September,8,1/1/2003
2004,Alagoas,September,5,1/1/2004
2005,Alagoas,September,7,1/1/2005
2006,Alagoas,September,4,1/1/2006
2007,Alagoas,September,2,1/1/2007
2008,Alagoas,September,9,1/1/2008
2009,Alagoas,September,13,1/1/2009
2010,Alagoas,September,5,1/1/2010
2011,Alagoas,September,5,1/1/2011
2012,Alagoas,September,6,1/1/2012
2013,Alagoas,September,4,1/1/2013
2014,Alagoas,September,11,1/1/2014
2015,Alagoas,September,7,1/1/2015
2016,Alagoas,September,18,1/1/2016
2017,Alagoas,September,4,1/1/2017
1998,Alagoas,October,20,1/1/1998
1999,Alagoas,October,4,1/1/1999
2000,Alagoas,October,13,1/1/2000
2001,Alagoas,October,15,1/1/2001
2002,Alagoas,October,30,1/1/2002
2003,Alagoas,October,10,1/1/2003
2004,Alagoas,October,12,1/1/2004
2005,Alagoas,October,17,1/1/2005
2006,Alagoas,October,32,1/1/2006
2007,Alagoas,October,6,1/1/2007
2008,Alagoas,October,18,1/1/2008
2009,Alagoas,October,30,1/1/2009
2010,Alagoas,October,16,1/1/2010
2011,Alagoas,October,23,1/1/2011
2012,Alagoas,October,28,1/1/2012
2013,Alagoas,October,25,1/1/2013
2014,Alagoas,October,7,1/1/2014
2015,Alagoas,October,40,1/1/2015
2016,Alagoas,October,74,1/1/2016
2017,Alagoas,October,14,1/1/2017
1998,Alagoas,October,19,1/1/1998
1999,Alagoas,November,15,1/1/1999
2000,Alagoas,November,2,1/1/2000
2001,Alagoas,November,22,1/1/2001
2002,Alagoas,November,50,1/1/2002
2003,Alagoas,November,17,1/1/2003
2004,Alagoas,November,28,1/1/2004
2005,Alagoas,November,25,1/1/2005
2006,Alagoas,November,12,1/1/2006
2007,Alagoas,November,15,1/1/2007
2008,Alagoas,November,37,1/1/2008
2009,Alagoas,November,55,1/1/2009
2010,Alagoas,November,31,1/1/2010
2011,Alagoas,November,23,1/1/2011
2012,Alagoas,November,95,1/1/2012
2013,Alagoas,November,10,1/1/2013
2014,Alagoas,November,14,1/1/2014
2015,Alagoas,November,162,1/1/2015
2016,Alagoas,November,76,1/1/2016
2017,Alagoas,November,10,1/1/2017
1998,Alagoas,December,32,1/1/1998
1999,Alagoas,December,12,1/1/1999
2000,Alagoas,December,2,1/1/2000
2001,Alagoas,December,30,1/1/2001
2002,Alagoas,December,95,1/1/2002
2003,Alagoas,December,43,1/1/2003
2004,Alagoas,December,71,1/1/2004
2005,Alagoas,December,16,1/1/2005
2006,Alagoas,December,30,1/1/2006
2007,Alagoas,December,33,1/1/2007
2008,Alagoas,December,34,1/1/2008
2009,Alagoas,December,55,1/1/2009
2010,Alagoas,December,45,1/1/2010
2011,Alagoas,December,50,1/1/2011
2012,Alagoas,December,59,1/1/2012
2013,Alagoas,December,42,1/1/2013
2014,Alagoas,December,24,1/1/2014
2015,Alagoas,December,136,1/1/2015
2016,Alagoas,December,155,1/1/2016
1998,Amapa,January,0,1/1/1998
1999,Amapa,January,0,1/1/1999
2000,Amapa,January,2,1/1/2000
2001,Amapa,January,0,1/1/2001
2002,Amapa,January,7,1/1/2002
2003,Amapa,January,31,1/1/2003
2004,Amapa,January,38,1/1/2004
2005,Amapa,January,109,1/1/2005
2006,Amapa,January,6,1/1/2006
2007,Amapa,January,0,1/1/2007
2008,Amapa,January,2,1/1/2008
2009,Amapa,January,4,1/1/2009
2010,Amapa,January,2,1/1/2010
2011,Amapa,January,0,1/1/2011
2012,Amapa,January,30,1/1/2012
2013,Amapa,January,3,1/1/2013
2014,Amapa,January,10,1/1/2014
2015,Amapa,January,14,1/1/2015
2016,Amapa,January,19,1/1/2016
2017,Amapa,January,2,1/1/2017
1998,Amapa,January,0,1/1/1998
1999,Amapa,January,1,1/1/1999
2000,Amapa,January,0,1/1/2000
2001,Amapa,January,0,1/1/2001
2002,Amapa,January,2,1/1/2002
2003,Amapa,January,0,1/1/2003
2004,Amapa,January,2,1/1/2004
2005,Amapa,February,1,1/1/2005
2006,Amapa,February,2,1/1/2006
2007,Amapa,February,0,1/1/2007
2008,Amapa,February,0,1/1/2008
2009,Amapa,February,0,1/1/2009
2010,Amapa,February,0,1/1/2010
2011,Amapa,February,3,1/1/2011
2012,Amapa,February,5,1/1/2012
2013,Amapa,February,0,1/1/2013
2014,Amapa,February,2,1/1/2014
2015,Amapa,February,1,1/1/2015
2016,Amapa,February,1,1/1/2016
2017,Amapa,February,0,1/1/2017
1998,Amapa,March,0,1/1/1998
1999,Amapa,March,2,1/1/1999
2000,Amapa,March,0,1/1/2000
2001,Amapa,March,0,1/1/2001
2002,Amapa,March,0,1/1/2002
2003,Amapa,March,1,1/1/2003
2004,Amapa,March,0,1/1/2004
2005,Amapa,March,0,1/1/2005
2006,Amapa,March,0,1/1/2006
2007,Amapa,March,0,1/1/2007
2008,Amapa,March,1,1/1/2008
2009,Amapa,March,1,1/1/2009
2010,Amapa,March,2,1/1/2010
2011,Amapa,March,0,1/1/2011
2012,Amapa,March,1,1/1/2012
2013,Amapa,March,0,1/1/2013
2014,Amapa,March,1,1/1/2014
2015,Amapa,March,2,1/1/2015
2016,Amapa,March,5,1/1/2016
2017,Amapa,March,0,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,0,1/1/2002
2003,Amapa,April,2,1/1/2003
2004,Amapa,April,0,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,2,1/1/2008
2009,Amapa,April,0,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,2,1/1/2012
2013,Amapa,April,2,1/1/2013
2014,Amapa,April,0,1/1/2014
2015,Amapa,April,0,1/1/2015
2016,Amapa,April,0,1/1/2016
2017,Amapa,April,3,1/1/2017
1998,Amapa,May,0,1/1/1998
1999,Amapa,May,0,1/1/1999
2000,Amapa,May,0,1/1/2000
2001,Amapa,May,0,1/1/2001
2002,Amapa,May,3,1/1/2002
2003,Amapa,May,0,1/1/2003
2004,Amapa,May,0,1/1/2004
2005,Amapa,May,0,1/1/2005
2006,Amapa,May,0,1/1/2006
2007,Amapa,May,0,1/1/2007
2008,Amapa,May,0,1/1/2008
2009,Amapa,May,2,1/1/2009
2010,Amapa,May,2,1/1/2010
2011,Amapa,May,2,1/1/2011
2012,Amapa,May,2,1/1/2012
2013,Amapa,May,0,1/1/2013
2014,Amapa,May,0,1/1/2014
2015,Amapa,May,0,1/1/2015
2016,Amapa,May,1,1/1/2016
2017,Amapa,May,1,1/1/2017
1998,Amapa,May,0,1/1/1998
1999,Amapa,June,2,1/1/1999
2000,Amapa,June,0,1/1/2000
2001,Amapa,June,0,1/1/2001
2002,Amapa,June,0,1/1/2002
2003,Amapa,June,0,1/1/2003
2004,Amapa,June,5,1/1/2004
2005,Amapa,June,2,1/1/2005
2006,Amapa,June,0,1/1/2006
2007,Amapa,June,0,1/1/2007
2008,Amapa,June,0,1/1/2008
2009,Amapa,June,1,1/1/2009
2010,Amapa,June,0,1/1/2010
2011,Amapa,June,0,1/1/2011
2012,Amapa,June,7,1/1/2012
2013,Amapa,June,1,1/1/2013
2014,Amapa,June,0,1/1/2014
2015,Amapa,June,3,1/1/2015
2016,Amapa,June,2,1/1/2016
2017,Amapa,June,2,1/1/2017
1998,Amapa,July,0,1/1/1998
1999,Amapa,July,0,1/1/1999
2000,Amapa,July,0,1/1/2000
2001,Amapa,July,1,1/1/2001
2002,Amapa,July,1,1/1/2002
2003,Amapa,July,0,1/1/2003
2004,Amapa,July,2,1/1/2004
2005,Amapa,July,0,1/1/2005
2006,Amapa,July,0,1/1/2006
2007,Amapa,July,0,1/1/2007
2008,Amapa,July,0,1/1/2008
2009,Amapa,July,4,1/1/2009
2010,Amapa,July,2,1/1/2010
2011,Amapa,July,5,1/1/2011
2012,Amapa,July,3,1/1/2012
2013,Amapa,July,1,1/1/2013
2014,Amapa,July,4,1/1/2014
2015,Amapa,July,5,1/1/2015
2016,Amapa,July,1,1/1/2016
2017,Amapa,July,3,1/1/2017
1998,Amapa,August,1,1/1/1998
1999,Amapa,August,0,1/1/1999
2000,Amapa,August,3,1/1/2000
2001,Amapa,August,12,1/1/2001
2002,Amapa,August,18,1/1/2002
2003,Amapa,August,14,1/1/2003
2004,Amapa,August,9,1/1/2004
2005,Amapa,August,4,1/1/2005
2006,Amapa,August,11,1/1/2006
2007,Amapa,August,5,1/1/2007
2008,Amapa,August,4,1/1/2008
2009,Amapa,August,20,1/1/2009
2010,Amapa,August,1,1/1/2010
2011,Amapa,August,16,1/1/2011
2012,Amapa,August,19,1/1/2012
2013,Amapa,August,9,1/1/2013
2014,Amapa,August,18,1/1/2014
2015,Amapa,August,40,1/1/2015
2016,Amapa,August,37,1/1/2016
2017,Amapa,August,33,1/1/2017
1998,Amapa,September,20,1/1/1998
1999,Amapa,September,4,1/1/1999
2000,Amapa,September,19,1/1/2000
2001,Amapa,September,95,1/1/2001
2002,Amapa,September,73,1/1/2002
2003,Amapa,September,88,1/1/2003
2004,Amapa,September,67,1/1/2004
2005,Amapa,September,97,1/1/2005
2006,Amapa,September,112,1/1/2006
2007,Amapa,September,61,1/1/2007
2008,Amapa,September,83,1/1/2008
2009,Amapa,September,188,1/1/2009
2010,Amapa,September,63,1/1/2010
2011,Amapa,September,128,1/1/2011
2012,Amapa,September,168,1/1/2012
2013,Amapa,September,85,1/1/2013
2014,Amapa,September,137,1/1/2014
2015,Amapa,September,192,1/1/2015
2016,Amapa,September,142,1/1/2016
2017,Amapa,September,95,1/1/2017
1998,Amapa,October,42,1/1/1998
1999,Amapa,October,25,1/1/1999
2000,Amapa,October,42,1/1/2000
2001,Amapa,October,194,1/1/2001
2002,Amapa,October,557,1/1/2002
2003,Amapa,October,355,1/1/2003
2004,Amapa,October,412,1/1/2004
2005,Amapa,October,335,1/1/2005
2006,Amapa,October,405,1/1/2006
2007,Amapa,October,162,1/1/2007
2008,Amapa,October,395,1/1/2008
2009,Amapa,October,765,1/1/2009
2010,Amapa,October,265,1/1/2010
2011,Amapa,October,304,1/1/2011
2012,Amapa,October,475,1/1/2012
2013,Amapa,October,385,1/1/2013
2014,Amapa,October,480,1/1/2014
2015,Amapa,October,827,1/1/2015
2016,Amapa,October,793,1/1/2016
2017,Amapa,October,468,1/1/2017
1998,Amapa,October,131,1/1/1998
1999,Amapa,November,26,1/1/1999
2000,Amapa,November,157,1/1/2000
2001,Amapa,November,406,1/1/2001
2002,Amapa,November,1.096,1/1/2002
2003,Amapa,November,750,1/1/2003
2004,Amapa,November,949,1/1/2004
2005,Amapa,November,685,1/1/2005
2006,Amapa,November,207,1/1/2006
2007,Amapa,November,198,1/1/2007
2008,Amapa,November,266,1/1/2008
2009,Amapa,November,1.019,1/1/2009
2010,Amapa,November,339,1/1/2010
2011,Amapa,November,282,1/1/2011
2012,Amapa,November,969,1/1/2012
2013,Amapa,November,341,1/1/2013
2014,Amapa,November,484,1/1/2014
2015,Amapa,November,1.3,1/1/2015
2016,Amapa,November,1.161,1/1/2016
2017,Amapa,November,858,1/1/2017
1998,Amapa,December,84,1/1/1998
1999,Amapa,December,41,1/1/1999
2000,Amapa,December,30,1/1/2000
2001,Amapa,December,593,1/1/2001
2002,Amapa,December,200,1/1/2002
2003,Amapa,December,411,1/1/2003
2004,Amapa,December,777,1/1/2004
2005,Amapa,December,38,1/1/2005
2006,Amapa,December,74,1/1/2006
2007,Amapa,December,14,1/1/2007
2008,Amapa,December,32,1/1/2008
2009,Amapa,December,123,1/1/2009
2010,Amapa,December,43,1/1/2010
2011,Amapa,December,360,1/1/2011
2012,Amapa,December,422,1/1/2012
2013,Amapa,December,148,1/1/2013
2014,Amapa,December,354,1/1/2014
2015,Amapa,December,269,1/1/2015
2016,Amapa,December,491,1/1/2016
1998,Amazonas,January,0,1/1/1998
1999,Amazonas,January,3,1/1/1999
2000,Amazonas,January,7,1/1/2000
2001,Amazonas,January,3,1/1/2001
2002,Amazonas,January,17,1/1/2002
2003,Amazonas,January,158,1/1/2003
2004,Amazonas,January,123,1/1/2004
2005,Amazonas,January,44,1/1/2005
2006,Amazonas,January,20,1/1/2006
2007,Amazonas,January,37,1/1/2007
2008,Amazonas,January,16,1/1/2008
2009,Amazonas,January,9,1/1/2009
2010,Amazonas,January,82,1/1/2010
2011,Amazonas,January,53,1/1/2011
